,ACLED_PK,KPIFK,TimeFK_Event_Date,DateClean,Flashfill,Date Format,CountryFK,ACLED_Region,ACLED_GWNO,ACLED_Event_ID_Cnty,ACLED_Event_ID_No_Cnty,ACLED_Year,ACLED_Time_Precision,ACLED_Event_Type,ACLED_Event_TypeDesc,ACLED_Event_SubType,ACLED_Event_SubTypeDesc,ACLED_Actor1,ACLED_Ally_Actor1,ACLED_Inter1,ACLED_Actor2,ACLED_Ally_Actor2,ACLED_Inter2,ACLED_Interaction,ACLED_Admin1,ACLED_Admin2,ACLED_Admin3,ACLED_Location,ACLED_Latitude,ACLED_Longitude,ACLED_Geo_Precision,ACLED_Source,ACLED_SourceScale,ACLED_Notes,ACLED_Fatalities,ACLED_CreatedOn,ACLED_CreatedBy,ACLED_UpdatedOn,ACLED_UpdatedBy
0,10469242,95,20210109,20210109,2021-01-09,2021-01-09,3,South Asia,,SRI4515,4515,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Hiru News,National,"On 9 January 2021, a group of depositors in Edirisinghe Trust Investment (ETI), staged a protest in front of a court in Colombo city (Colombo), against the arrest of four former members of the ETI Board of Directors in a financial fraud case. [size=no report]",0,01:01.4,RES01\svcDW_Admin_UNDP,,
1,10469241,95,20210109,20210109,2021-01-09,2021-01-09,3,South Asia,,SRI4514,4514,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Southern,Hambantota,Hambantota,Hambantota,6.1241,81.1185,1,News1st (Sri Lanka),National,"On 9 January 2021, local residents staged a protest at Badagiriya in Hambantota (Hambantota), against the construction of a tavern due to the problems posed by wild elephants in the area. [size=no report]",0,01:01.4,RES01\svcDW_Admin_UNDP,,
2,10469240,95,20210109,20210109,2021-01-09,2021-01-09,3,South Asia,,SRI4513,4513,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Southern,Galle,Galle Four Gravets,Galle,6.0367,80.217,1,Lankadeepa,National,"On 9 January 2021, residents of 20 villages around the Boossa High Security Prison staged a protest at Boossa Junction in Galle town (Galle), against the alleged communication blockade in their villages due to a High Security Prison in their locality. [size=no report]",0,01:01.4,RES01\svcDW_Admin_UNDP,,
3,10470211,95,20210113,20210113,2021-01-13,2021-01-13,3,South Asia,,SRI4528,4528,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,North Western,Puttalam,Mahawewa,Mahawewa,7.4571,79.8348,1,Lankadeepa,National,"On 13 January 2021, parents of school students staged a road blockade in Mahawewa town (Mahawewa, Puttalam), protesting against the non-conversion of a college into a national school. [size=no report]",0,01:01.4,RES01\svcDW_Admin_UNDP,,
4,10469994,95,20210112,20210112,2021-01-12,2021-01-12,3,South Asia,,SRI4527,4527,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Western,Colombo,Thimbirigasyaya,Narahenpita,6.8928,79.8757,1,Lankadeepa; Colombo Gazette,National,"On 12 January 2021, a group of disabled war heroes staged a protest near the Seenigama Devalaya in Narahenpita (Thimbirigasyaya, Colombo), demanding the immediate release of retired Southern Provincial Councilor who was arrested after a case was filed accusing him for allegedly making statements regarding a youth abduction case at a media briefing organised by the 'War Heroes for Motherland' organization in December 2019. [size=no report]",0,01:01.4,RES01\svcDW_Admin_UNDP,,
5,10469993,95,20210112,20210112,2021-01-12,2021-01-12,3,South Asia,,SRI4526,4526,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Lankadeepa,National,"On 12 January 2021, more than 100 depositors in Edirisinghe Trust Investment (ETI), staged a protest in front of a court in Colombo city (Colombo), against the arrest of four former members of the ETI Board of Directors in a financial fraud case. [size=more than 100]",0,01:01.4,RES01\svcDW_Admin_UNDP,,
6,10480267,95,20210127,20210127,2021-01-27,2021-01-27,3,South Asia,,SRI4566,4566,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Western,Gampaha,Gampaha,Gampaha,7.0897,79.9925,1,Lankadeepa,National,"On 27 January 2021, a group of depositors of a bank staged a silent protest in front of the Gampaha court premises (Gampaha), demanding steps by the bank authorities to return their deposits amid financial fraud caused by the financial department of co-operatives. [size=no report]",0,27:19.9,RES01\svcDW_Admin_UNDP,,
7,10479900,95,20210126,20210126,2021-01-26,2021-01-26,3,South Asia,,SRI4563,4563,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Western,Gampaha,Negombo,Negombo,7.2083,79.8358,1,News1st (Sri Lanka),National,"On 26 January 2021, members of 'Indo-Sri Lanka People's Cooperation movement' in solidarity with the Indian farmers, staged a demonstration in Negombo town (Gampaha district), protesting against the farm laws introduced in India. [size=no report]",0,27:19.9,RES01\svcDW_Admin_UNDP,,
8,10479901,95,20210126,20210126,2021-01-26,2021-01-26,3,South Asia,,SRI4564,4564,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Eastern,Trincomalee,Trincomalee Town and Gravets,Trincomalee,8.5711,81.2335,1,News1st (Sri Lanka),National,"On 26 January 2021, members of civic groups including 'Voice of the Eastern People', in solidarity with the Indian farmers, staged a demonstration in Trincomalee town (Trincomalee), protesting against the farm laws introduced in India. [size=no report]",0,27:19.9,RES01\svcDW_Admin_UNDP,,
9,10479898,95,20210126,20210126,2021-01-26,2021-01-26,3,South Asia,,SRI4561,4561,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),,6,,,0,60,Central,Kandy,K.F.G. & G. Korale,Kandy,7.2955,80.6356,1,News1st (Sri Lanka),National,"On 26 January 2021, members of 'Indo-Sri Lanka People's Cooperation movement' in solidarity with the Indian farmers, staged a demonstration opposite the Indian Assistant High Commission in Kandy town (Central), protesting against the farm laws introduced in India. [size=no report]",0,27:19.9,RES01\svcDW_Admin_UNDP,,
