,ACLED_PK,KPIFK,TimeFK_Event_Date,CountryFK,ACLED_Region,ACLED_GWNO,ACLED_Event_ID_Cnty,ACLED_Event_ID_No_Cnty,ACLED_Year,ACLED_Time_Precision,ACLED_Event_Type,ACLED_Event_TypeDesc,ACLED_Event_SubType,ACLED_Event_SubTypeDesc,ACLED_Actor1,ACLED_Ally_Actor1,ACLED_Inter1,ACLED_Actor2,ACLED_Ally_Actor2,ACLED_Inter2,ACLED_Interaction,ACLED_Admin1,ACLED_Admin2,ACLED_Admin3,ACLED_Location,ACLED_Latitude,ACLED_Longitude,ACLED_Geo_Precision,ACLED_Source,ACLED_SourceScale,ACLED_Notes,ACLED_Fatalities,ACLED_CreatedOn,ACLED_CreatedBy,ACLED_UpdatedOn,ACLED_UpdatedBy
0,11454420,95,20210914,203,Western Africa,,NIG21968,21968,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Nigeria),Women (Nigeria),6,,,0,60,Kano,Kumbotso,,Kumbotso,11.888,8.5022,2,Daily Independent (Nigeria); Nigeria Punch,National,"On 14 September 2021, hundreds of women protested the absence of power supply in Kumbotso LGA (Kano) coded as Kumbotso. The protesters claimed that there has been no power supply in the area for seven years. [size=hundreds]",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
1,11454423,95,20210914,203,Western Africa,,NIG21971,21971,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Nigeria),Students (Nigeria),6,,,0,60,Edo,Egor,,Ugbowo,6.4003,5.6101,1,The Cable (Nigeria); Daily Independent (Nigeria); Nigeria Punch,National,"On 14 September 2021, hundreds of students blocked the main gate of the university of Benin and the Benin-Lagos highway in Ugbowo (Egor, Edo) while protesting a hike in school fees and demanding a reduction. [size=hundreds]",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
2,11453528,95,20210911,203,Western Africa,,NIG21937,21937,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Nigeria),APC: All Progressives Congress,6,,,0,60,Kaduna,Kaduna North,,Kaduna,10.5222,7.4383,1,Nigeria Punch; Vanguard (Nigeria),National,"On 11 September 2021, supporters of an APC candidate in the LGA elections protested in Kaduna (Kaduna North, Kaduna) against the declaration of the elections as inconclusive by the state independent electoral commission. [size=no report]",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
3,11455289,95,20210917,203,Western Africa,,NIG21986,21986,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Nigeria),,6,,,0,60,Bauchi,Bauchi,,Bayara,10.2105,9.7266,1,Nigeria Punch; EONS Intelligence,National,"On 17 September 2021, residents of Bayara (Bauchi, Bauchi) protested over the government's alleged negligence on security and increased kidnappings. The protest was triggered by the abduction of a woman earlier during the day. [size=no report]",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
4,11454094,95,20210913,203,Western Africa,,NIG21949,21949,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Nigeria),,6,,,0,60,Edo,Ovia North East,,Ekehuan,6.1901,5.3699,1,Nigeria Punch,National,"On 13 September 2021, residents of Ekehuan (Ovia North East, Edo) blocked the road in protest over the dilapidated roads in the area. [size=no report]",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
5,11454095,95,20210913,203,Western Africa,,NIG21950,21950,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Nigeria),,6,,,0,60,Oyo,Ibarapa East,,Eruwa,7.5333,3.4167,1,Daily Post (Nigeria),National,"On 13 September 2021, residents of Eruwa (Ibarapa East, Oyo) protested against the appointment of the chairman of the governing board of the tertiary institution in the area; they also demanded the dissolution of the board. [size=no report]",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
6,11454413,95,20210914,203,Western Africa,,NIG21961,21961,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Nigeria),Labour Group (Nigeria),6,,,0,60,Cross River,Calabar Municipal,,Calabar,4.9667,8.3333,1,Cross River Watch; Pulse.ng,Subnational-National,"On 14 September 2021, dozens of workers protested in Calabar (Calabar Municipal, Cross River) requesting the payment of their salaries owed for three years. [size=dozens]",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
7,11454093,95,20210913,203,Western Africa,,NIG21948,21948,2021,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Nigeria),Government of Nigeria (2015-),6,,,0,60,Anambra,Awka South,,Awka,6.2101,7.0741,1,Sahara Reporters,Regional,"On 13 September 2021, the governor of Anambra state led a protest in Awka (Awka South, Anambra) against the sit at home order made by the IPOB. [size=no report]",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
8,11453236,95,20210909,203,Western Africa,,NIG21925,21925,2021,2,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Other,"Any significant development that does not fall into the other sub-event types including the occurrence of a coup, displacement of civilian population, discovery of mass graves etc.",Civilians (Nigeria),Refugees/IDPs (Nigeria),7,,,0,70,Sokoto,Dange-Shuni,,Boda,12.8059,5.3508,1,ReliefWeb,Other,"Displacement: Around 9 September 2021 (between 6 - 12 September), 276 people from 54 affected households were displaced from Boda (Dange-Shuni, Sokoto) to neighboring wards in the state due to attacks from armed militias.",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
9,11453237,95,20210909,203,Western Africa,,NIG21926,21926,2021,2,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Other,"Any significant development that does not fall into the other sub-event types including the occurrence of a coup, displacement of civilian population, discovery of mass graves etc.",Civilians (Nigeria),Refugees/IDPs (Nigeria),7,,,0,70,Benue,Katsina Ala,,Katsina-Ala,7.1693,9.2846,1,ReliefWeb,Other,"Displacement: Around 9 September 2021 (between 6 - 12 September), 1,200 civilians from two hundred affected households were displaced from Katsina-Ala (Katsina Ala, Benue) to neighboring wards in the state due to attacks from armed militias.",0,2021-09-21 01:10:30.710,RES01\svcDW_Admin_UNDP,,
